itinerario_id,cruce_id,sentido,instante_paso_s,hcall_in_s,hcall_out_s
1,23,,62867,62790,62877
1,23,,63323,63246,63333
1,23,,63587,63510,63597
1,23,,64307,64230,64317
1,23,,64513,64436,64523
1,23,,65027,64950,65037
1,23,,65233,65156,65243
1,23,,65747,65670,65757
1,23,,65953,65876,65963
1,23,,66467,66390,66477
1,23,,66673,66596,66683
1,23,,67393,67316,67403
1,23,,67487,67410,67497
1,23,,68113,68036,68123
1,23,,68387,68310,68397
1,23,,68687,68610,68697
1,23,,68833,68756,68843
1,23,,69407,69330,69417
1,23,,69553,69476,69563
1,23,,70247,70170,70257
1,23,,70273,70196,70283
1,23,,70907,70830,70917
1,23,,70993,70916,71003
1,23,,71387,71310,71397
1,23,,71593,71516,71603
1,23,,72013,71936,72023
1,23,,72107,72030,72117
1,23,,72767,72690,72777
1,23,,72793,72716,72803
1,23,,73307,73230,73317
1,23,,73523,73446,73533
1,23,,73907,73830,73917
1,23,,74423,74346,74433
1,23,,74807,74730,74817
1,23,,75323,75246,75333
1,23,,75707,75630,75717
1,23,,76223,76146,76233
1,23,,76907,76830,76917
1,23,,77123,77046,77133
1,23,,77807,77730,77817
1,23,,78023,77946,78033
1,23,,78923,78846,78933
1,23,,79007,78930,79017
1,23,,79787,79710,79797
1,23,,79823,79746,79833
1,23,,80723,80646,80733
1,23,,83123,83046,83133
1,23,,84623,84546,84633
1,22,,21488,21361,21498
1,22,,22292,22165,22302
1,22,,22328,22201,22338
1,22,,22988,22861,22998
1,22,,23253,23126,23263
1,22,,24008,23881,24018
1,22,,24848,24721,24858
1,22,,25868,25741,25878
1,22,,26528,26401,26538
1,22,,26652,26525,26662
1,22,,26948,26821,26958
1,22,,27368,27241,27378
1,22,,27372,27245,27382
1,22,,27908,27781,27918
1,22,,28332,28205,28342
1,22,,28568,28441,28578
1,22,,29228,29101,29238
1,22,,29232,29105,29242
1,22,,30053,29926,30063
1,22,,30192,30065,30202
1,22,,30773,30646,30783
1,22,,30912,30785,30922
1,22,,31673,31546,31683
1,22,,32292,32165,32302
1,22,,32693,32566,32703
1,22,,32952,32825,32962
1,22,,33473,33346,33483
1,22,,33612,33485,33622
1,22,,34272,34145,34282
1,22,,34932,34805,34942
1,22,,34973,34846,34983
1,22,,35652,35525,35662
1,22,,35873,35746,35883
1,22,,36473,36346,36483
1,22,,36552,36425,36562
1,22,,37752,37625,37762
1,22,,38573,38446,38583
1,22,,38652,38525,38662
1,22,,39773,39646,39783
1,22,,40152,40025,40162
1,22,,40973,40846,40983
1,22,,41873,41746,41883
1,22,,43752,43625,43762
1,22,,44273,44146,44283
1,22,,44652,44525,44662
1,22,,45173,45046,45183
1,22,,46152,46025,46162
1,22,,46932,46805,46942
1,22,,49152,49025,49162
1,22,,49973,49846,49983
1,22,,50052,49925,50062
1,22,,52373,52246,52383
1,22,,53273,53146,53283
1,22,,54852,54725,54862
1,22,,56273,56146,56283
1,22,,57252,57125,57262
1,22,,58073,57946,58083
1,22,,58152,58025,58162
1,22,,60773,60646,60783
1,22,,61152,61025,61162
1,22,,61493,61366,61503
1,22,,62213,62086,62223
1,22,,62352,62225,62362
1,22,,62933,62806,62943
1,22,,63252,63125,63262
1,22,,63653,63526,63663
1,22,,64373,64246,64383
1,22,,64432,64305,64442
1,22,,65093,64966,65103
1,22,,65152,65025,65162
1,22,,65813,65686,65823
1,22,,65872,65745,65882
1,22,,66533,66406,66543
1,22,,66592,66465,66602
1,22,,67312,67185,67322
1,22,,67553,67426,67563
1,22,,68032,67905,68042
1,22,,68453,68326,68463
1,22,,68752,68625,68762
1,22,,69472,69345,69482
1,22,,69473,69346,69483
1,22,,70192,70065,70202
1,22,,70313,70186,70323
1,22,,70912,70785,70922
1,22,,70973,70846,70983
1,22,,71512,71385,71522
1,22,,71932,71805,71942
1,22,,72173,72046,72183
1,22,,72712,72585,72722
1,22,,72833,72706,72843
1,22,,73452,73325,73462
1,22,,73973,73846,73983
1,22,,74352,74225,74362
1,22,,74873,74746,74883
1,22,,75252,75125,75262
1,22,,75773,75646,75783
1,22,,76152,76025,76162
1,22,,76953,76826,76963
1,22,,77052,76925,77062
1,22,,77873,77746,77883
1,22,,77952,77825,77962
1,22,,78852,78725,78862
